"Statistical unit","Unit of measure","Level of education","Orientation","Sex","Age","Grade","Type of institution","Level of educational attainment","School subject","Wealth quintile","Infrastructure","Location","Type of education","Socioeconomic background","Source of funding","Funding flow","Reference area","Time Period","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:F:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","91.18000","93.27000","93.78000","95.13000","95.18000","95.90000","96.44000","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","92.13000","93.25000","93.25000","93.74000","94.83000","95.03000","95.66000","","","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PUB:Public institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","HWASH:Handwashing facilities","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PUB:_Z:_T:_Z:HWASH:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","88.77582",""
"AIR:Gross intake ratio","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","AIR:PT:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","95.64591","93.43396","93.44658","92.26805","93.64474","95.03117","95.08064","96.01145","94.99336","91.98770",""
"SCH:School","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","COMP_PP:Computers for pedagogical purposes","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L3:_T:_T:_T:_T:INST_T:_Z:_T:_Z:COMP_PP:_T:_T:_T:_Z:_Z:VE","","","","27.47072","","","","","","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L1:Primary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","7.33923","9.19346","7.21902","6.39604","6.38071","6.34383","7.07927","7.34986","8.00332","11.05627",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","1.21352","1.24781","1.18644","1.20157","1.17153","1.12025","1.14440","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","1.02143","1.02411","1.02148","1.00674","1.01287","1.00638","1.01523","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:F:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","96.69000","95.88000","97.70000","97.86000","97.20000","97.10000","98.72000","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:F:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","69.92000","70.47000","76.93000","72.69000","75.55000","70.49000","76.02000","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:M:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","83.59000","81.50000","86.75000","84.55000","88.26000","88.15000","88.55000","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","1.15192","1.10227","1.15583","1.14579","1.10254","1.13084","1.14957","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","91","91.34000","92.51000","92.72000","93.69000","94.23000","94.61000","","","",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","58.31696","","","","","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","1.21550","1.16263","1.19490","1.19928","1.18390","1.13015","1.18541","","","",""
"STU:Students","PT:Percentage","L2_3:Secondary education","C5:Vocational programmes","F:Female","Y15T24:15-24 years","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2_3:C5:F:Y15T24:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","2.13263","2.16857","2.33233","2.10030","2.07445","2.28979","","2.20796","1.93630","",""
"CR:Completion rate","GPI:Gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","1.02190","1.02471","1.02196","1.00679","1.01304","1.00642","1.01546","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:M:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","88.98000","88.81000","90.65000","90.71000","92.05000","92.99000","93.40000","","","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","IMPR_DWATER_AVAIL:Improved drinking water source with drinking water available","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_T:_Z:_T:_Z:IMPR_DWATER_AVAIL:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","97.49198",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","73.79000","75.89000","77.99000","78.40000","79.78000","75.65000","79","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","1.14382","1.19496","1.13676","1.12398","1.12960","1.09590","1.13617","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:M:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","57.48000","60.18000","61.94000","61.35000","65.21000","58.32000","63.61000","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:M:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","93.92000","93.28000","94.70000","94.93000","94.57000","97.50000","96.55000","","","",""
"EA:Educational attainment","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L7_8:At least completed master's or equivalent level","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:GPI:_Z:_Z:_T:Y_GE25:_Z:_Z:L7_8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","","","","","","","","","1.52163","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L4T8:At least completed post-secondary non-tertiary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:F:Y_GE25:_Z:_Z:L4T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","0","0","0","","28.93623","","","","35.46594","",""
"ROFST:Rate of out-of-school children","GPIA:Adjusted gender parity index","L1:Primary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:GPIA:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","0.91179","0.91972","0.93867","0.93298","0.93650","1.30301","1.25033","0.95896","1.01177","1.00763",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","1.18020","1.16820","1.17897","1.16893","1.13249","1.12602","1.13009","","","",""
"AIR:Gross intake ratio","PT:Percentage","L1:Primary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","AIR:PT:L1:_T:F:_T:GLAST:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","97.75894","94.57984","94.69256","93.35103","94.96644","96.35332","96.39057","96.70596","95.42972","92.36462",""
"SCH:School","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","COMP_PP:Computers for pedagogical purposes","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L2:_T:_T:_T:_T:INST_T:_Z:_T:_Z:COMP_PP:_T:_T:_T:_Z:_Z:VE","","","","26.70732","","","","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:M:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","90.59000","91.15000","91.29000","92.87000","93.12000","94.31000","95.47000","","","",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:F:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","35.91000","","","","","","","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L2T8:At least completed lower secondary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:_T:Y_GE25:_Z:_Z:L2T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","50.93899","52.62810","53.75724","","65.37717","","","","69.59715","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","1.19444","1.18558","1.13946","1.15818","1.18260","1.20605","1.16000","","","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L1T8:At least completed primary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:F:Y_GE25:_Z:_Z:L1T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","81.65247","82.86667","83.58583","","","","","","88.70828","",""
"GECER:Gross early childhood enrolment ratio","GPI:Gender parity index","L02:Pre-primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GECER:GPI:L02:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","1.00302","1.00831","0.92093","1.07469","1.07045","1.01356","1.00773","1.01046","1.00811","1.01055",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:M:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","94.53000","95.10000","96.10000","95.73000","96.64000","96.59000","97.65000","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:F:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","90.30000","90.60000","90.82000","92.08000","92.62000","93.62000","92.82000","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","1.14136","1.12812","1.15073","1.10598","1.10358","1.10394","1.09912","","","",""
"COMP_EDU:Compulsory education","YR:Years","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","COMP_EDU:YR:L1:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","6","6","6","6","6","6","6","6","6","6",""
"AIR:Gross intake ratio","GPI:Gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","AIR:GPI:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","1.04421","1.02431","1.02645","1.02324","1.02801","1.02762","1.02736","1.01427","1.00904","1.00806",""
